state,gender,year,name,count
AK,F,2015,Olivia,56
AL,F,2015,Ava,297
AR,F,2015,Emma,213
AZ,F,2015,Sophia,470
CA,F,2015,Sophia,2942
CO,F,2015,Emma,353
CT,F,2015,Sophia,215
DC,F,2015,Genesis,49
DE,F,2015,Ava,69
FL,F,2015,Isabella,1376
GA,F,2015,Ava,634
HI,F,2015,Mia,73
IA,F,2015,Emma,198
ID,F,2015,Olivia,115
IL,F,2015,Olivia,813
IN,F,2015,Emma,434
KS,F,2015,Emma,215
KY,F,2015,Emma,306
LA,F,2015,Ava,321
MA,F,2015,Olivia,428
MD,F,2015,Olivia,320
ME,F,2015,Emma,75
MI,F,2015,Olivia,600
MN,F,2015,Olivia,376
MO,F,2015,Emma,395
MS,F,2015,Ava,214
MT,F,2015,Emma,69
NC,F,2015,Ava,622
ND,F,2015,Ava,70
NE,F,2015,Emma,120
NH,F,2015,Olivia,91
NJ,F,2015,Emma,532
NM,F,2015,Mia,121
NV,F,2015,Sophia,188
NY,F,2015,Olivia,1297
OH,F,2015,Emma,720
OK,F,2015,Emma,264
OR,F,2015,Emma,234
PA,F,2015,Olivia,780
RI,F,2015,Olivia,83
SC,F,2015,Ava,277
SD,F,2015,Harper,59
TN,F,2015,Emma,473
TX,F,2015,Emma,2197
UT,F,2015,Emma,281
VA,F,2015,Emma,464
VT,F,2015,Emma,33
WA,F,2015,Olivia,477
WI,F,2015,Emma,352
WV,F,2015,Emma,143
WY,F,2015,Emma,39
